Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
515,1,1,1,1,1,237.52596,547.7251708
516,1,1,1,1,1,446.57925,145.3282723
517,1,1,1,1,1,76,25.38032713
518,1,1,1,1,1,474.16425,4.71433179
519,1,1,1,1,1,230.05775,24.16076614
520,1,1,1,1,1,1405.5,371.0097585
521,1,1,1,1,1,597.96747,99.26523962
522,1,1,1,1,1,460.9,1685.556023
523,1,1,1,1,1,580.5516,4372.531764
524,1,1,1,1,1,795.9134,2552.759567
525,1,1,1,1,1,194.34636,3540.329384
526,1,1,1,1,1,231.08235,2701.000815
527,1,1,1,1,1,69.47197,1693.789742
528,1,1,1,1,1,216.23494,4204.658606
529,1,1,1,1,1,280.7758,1923.996466
530,1,1,1,1,1,0,79.29610673
531,1,1,1,1,1,0,40.21352195
532,1,1,1,1,1,472.00372,1697.463304
533,1,1,1,1,1,377.65482,4453.003634
534,1,1,1,1,1,338.04504,3832.958992
535,1,1,1,1,1,221.62119,2342.341302
536,1,1,1,1,1,354.79547,5468.603606
537,1,1,1,1,1,194.63426,1355.333745
538,1,1,1,1,1,270.10712,600.3846797
539,1,1,1,1,1,311.07773,79.54468008
540,1,1,1,1,1,744.0633,12.07716636
541,1,1,1,1,1,771.9944,8.995593575
542,1,1,1,1,1,100.91185,10.41700792
543,1,1,1,1,1,347.2266,13.00268173
544,1,1,1,1,1,231.73676,123.9449066
545,1,1,1,1,1,419.77243,6.717275028
546,1,1,1,1,1,147.89032,16.39509093
547,1,1,1,1,1,62.12672,19.66609741
548,1,1,1,1,1,314.48166,10.5245839
549,1,1,1,1,1,226.92766,517.2003216
550,1,1,1,1,1,92.912254,469.6063661
551,1,1,1,1,1,355.56778,74.40892746
552,1,1,1,1,1,530.5377,119.7204258
553,1,1,1,1,1,149.20795,124.3554209
554,1,1,1,1,1,771.4637,7257.957309
555,1,1,1,1,1,48.903015,576.1134199
556,1,1,1,1,1,9,611.7171877
557,1,1,1,1,1,634.52563,5952.477457
558,1,1,1,1,1,1297.7391,90.82724453
559,1,1,1,1,1,376.45795,68.04817506
560,1,1,1,1,1,323.83304,4499.956637
561,1,1,1,1,1,231.37163,9886.509679
562,1,1,1,1,1,123.37341,1700.165567
563,1,1,1,1,1,62.297318,2164.746479
564,1,1,1,1,1,37.361496,82.02052059
565,1,1,1,1,1,11,67.84982323
566,1,1,1,1,1,0,4848.730813
567,1,1,1,1,1,59,2552.629737
568,1,1,1,1,1,50.0203,1747.777825
570,1,1,1,1,1,45.062546,2073.453331
571,1,1,1,1,1,159.7636,4551.157465
572,1,1,1,1,1,28.722988,1406.697833
573,1,1,1,1,1,35.297318,2751.552724
574,1,1,1,1,1,16.04224,1635.124065
575,1,1,1,1,1,23,107.8442885
576,1,1,1,1,1,147.16733,88.45495777
577,1,1,1,1,1,610.17126,2006.19979
578,1,1,1,1,1,337.01215,8.871435349
579,1,1,1,1,1,85.0406,15.43195684
580,1,1,1,1,1,1,6.757248938
581,1,1,1,1,1,136.31598,4.471686142
582,1,1,1,1,1,14.255075,65.35814239
583,1,1,1,1,1,36.978065,53.3960789
584,1,1,1,1,1,2,227.6009189
585,1,1,1,1,1,3,8.915466683
586,1,1,1,1,1,311.3517,8.311633704
587,1,1,1,1,1,140.78226,475.5295104
588,1,1,1,1,1,149.33792,52.75736155
589,1,1,1,1,1,720.0868,56.09616329
590,1,1,1,1,1,223.86838,2482.201215
591,1,1,1,1,1,99.444336,502.0675996
592,1,1,1,1,1,538.7303,46.79572142
593,1,1,1,1,1,2376.6787,100.4569938
594,1,1,1,1,1,565.54095,3104.662287
595,1,1,1,1,1,264.3769,994.4733287
596,1,1,1,1,1,0,406.510009
597,1,1,1,1,1,179.59135,11.21958592
598,1,1,1,1,1,1490.5221,1683.005194
599,1,1,1,1,1,272.97156,1615.461354
600,1,1,1,1,1,824.93,128.236583
601,1,1,1,1,1,97,139.1577844
602,1,1,1,1,1,544.688,69.91321759
603,1,1,1,1,1,1956.097,5484.437986
604,1,1,1,1,1,349.48004,2993.005568
605,1,1,1,1,1,229.75706,3837.97221
606,1,1,1,1,1,415.41425,4004.61887
607,1,1,1,1,1,51.55239,3711.696264
608,1,1,1,1,1,104,3036.173366
609,1,1,1,1,1,53,6490.193285
610,1,1,1,1,1,45.19023,5367.65521
611,1,1,1,1,1,162.90009,5603.316479
612,1,1,1,1,1,525.44934,655.4126349
613,1,1,1,1,1,24,2268.585461
614,1,1,1,1,1,119.0533,117.2116625
615,1,1,1,1,1,486.5189,9.573485371
616,1,1,1,1,1,98,9.141821974
617,1,1,1,1,1,188.50555,10.30227722
618,1,1,1,1,1,138.53813,7.758593658
619,1,1,1,1,1,48,60.72077752
